X, Y, Lat, Lon, HDT, indicator, p_n, t_n
-0.53850000,-0.14758000,25.01292183,121.54096540,314.86300000,2.00000000,1.00000000,315.00000000
-0.54614000,-0.15570000,25.01292173,121.54096540,316.27300000,2.00000000,1.00000000,315.00000000
-0.56874000,-0.16507000,25.01292153,121.54096530,316.14000000,2.00000000,1.00000000,315.00000000
-0.57639000,-0.17318000,25.01292143,121.54096530,315.27800000,2.00000000,1.00000000,315.00000000
-0.59134000,-0.17444000,25.01292133,121.54096520,315.50400000,2.00000000,1.00000000,315.00000000
-0.61196000,-0.09398000,25.01292173,121.54096450,269.52800000,2.00000000,1.00000000,135.00000000
-0.61196000,-0.09398000,25.01292173,121.54096450,269.68200000,2.00000000,1.00000000,135.00000000
-0.60465000,-0.10084000,25.01292173,121.54096460,269.49100000,2.00000000,1.00000000,135.00000000
-0.60465000,-0.10084000,25.01292173,121.54096460,269.37800000,2.00000000,1.00000000,135.00000000
-0.60465000,-0.10084000,25.01292173,121.54096460,269.02400000,2.00000000,1.00000000,135.00000000
-0.61960000,-0.10209000,25.01292163,121.54096450,269.24600000,2.00000000,1.00000000,135.00000000
-0.62692000,-0.09524000,25.01292163,121.54096440,269.00200000,2.00000000,1.00000000,135.00000000
-0.64221000,-0.11146000,25.01292143,121.54096440,269.09800000,2.00000000,1.00000000,135.00000000
-0.64952000,-0.10461000,25.01292143,121.54096430,269.07400000,2.00000000,1.00000000,135.00000000
-0.65716000,-0.11272000,25.01292133,121.54096430,269.55800000,2.00000000,1.00000000,135.00000000
-0.67245000,-0.12895000,25.01292113,121.54096430,270.07800000,2.00000000,1.00000000,135.00000000
-0.65716000,-0.11272000,25.01292133,121.54096430,270.24900000,2.00000000,1.00000000,135.00000000
-0.66481000,-0.12083000,25.01292123,121.54096430,269.85600000,2.00000000,1.00000000,135.00000000
-0.66481000,-0.12083000,25.01292123,121.54096430,269.79900000,2.00000000,1.00000000,135.00000000
-0.66481000,-0.12083000,25.01292123,121.54096430,270.22900000,2.00000000,1.00000000,135.00000000
-0.66481000,-0.12083000,25.01292123,121.54096430,269.78200000,2.00000000,1.00000000,135.00000000
-0.66481000,-0.12083000,25.01292123,121.54096430,269.94200000,2.00000000,1.00000000,135.00000000
-0.66481000,-0.12083000,25.01292123,121.54096430,269.83000000,2.00000000,1.00000000,135.00000000
-0.66481000,-0.12083000,25.01292123,121.54096430,269.02100000,2.00000000,1.00000000,135.00000000
-0.66481000,-0.12083000,25.01292123,121.54096430,269.02500000,2.00000000,1.00000000,135.00000000
-0.65716000,-0.11272000,25.01292133,121.54096430,268.44500000,2.00000000,1.00000000,135.00000000
-0.66481000,-0.12083000,25.01292123,121.54096430,268.49000000,2.00000000,1.00000000,135.00000000
-0.65716000,-0.11272000,25.01292133,121.54096430,268.91600000,2.00000000,1.00000000,135.00000000
-0.65716000,-0.11272000,25.01292133,121.54096430,269.67200000,2.00000000,1.00000000,135.00000000
-0.65716000,-0.11272000,25.01292133,121.54096430,269.98100000,2.00000000,1.00000000,135.00000000
-0.66448000,-0.10586000,25.01292133,121.54096420,270.06400000,2.00000000,1.00000000,135.00000000
-0.66448000,-0.10586000,25.01292133,121.54096420,269.73400000,2.00000000,1.00000000,135.00000000
-0.67179000,-0.09901000,25.01292133,121.54096410,269.72600000,2.00000000,1.00000000,135.00000000
-0.67910000,-0.09215000,25.01292133,121.54096400,269.54400000,2.00000000,1.00000000,135.00000000
-0.67910000,-0.09215000,25.01292133,121.54096400,269.25700000,2.00000000,1.00000000,135.00000000
-0.67910000,-0.09215000,25.01292133,121.54096400,269.37800000,2.00000000,1.00000000,135.00000000
-0.67146000,-0.08403000,25.01292143,121.54096400,269.17000000,2.00000000,1.00000000,135.00000000
-0.67877000,-0.07718000,25.01292143,121.54096390,269.41400000,2.00000000,1.00000000,135.00000000
-0.68609000,-0.07032000,25.01292143,121.54096380,269.82000000,2.00000000,1.00000000,135.00000000
-0.68609000,-0.07032000,25.01292143,121.54096380,269.68200000,2.00000000,1.00000000,135.00000000
-0.69340000,-0.06346000,25.01292143,121.54096370,269.18000000,2.00000000,1.00000000,135.00000000
-0.70071000,-0.05661000,25.01292143,121.54096360,268.67900000,2.00000000,1.00000000,135.00000000
-0.70803000,-0.04975000,25.01292143,121.54096350,269.09100000,2.00000000,1.00000000,135.00000000
-0.71534000,-0.04289000,25.01292143,121.54096340,269.23200000,2.00000000,1.00000000,135.00000000
-0.71534000,-0.04289000,25.01292143,121.54096340,268.88700000,2.00000000,1.00000000,135.00000000
-0.71534000,-0.04289000,25.01292143,121.54096340,268.28900000,2.00000000,1.00000000,135.00000000
-0.70770000,-0.03478000,25.01292153,121.54096340,268.80300000,2.00000000,1.00000000,135.00000000
-0.71534000,-0.04289000,25.01292143,121.54096340,269.19400000,2.00000000,1.00000000,135.00000000
-0.72265000,-0.03603000,25.01292143,121.54096330,269.79200000,2.00000000,1.00000000,135.00000000
-0.72265000,-0.03603000,25.01292143,121.54096330,269.75300000,2.00000000,1.00000000,135.00000000
-0.71534000,-0.04289000,25.01292143,121.54096340,269.20000000,2.00000000,1.00000000,135.00000000
-0.72265000,-0.03603000,25.01292143,121.54096330,269.90600000,2.00000000,1.00000000,135.00000000
-0.72332000,-0.06597000,25.01292123,121.54096350,269.04700000,2.00000000,1.00000000,135.00000000
-0.72332000,-0.06597000,25.01292123,121.54096350,269.47400000,2.00000000,1.00000000,135.00000000
-0.72298000,-0.05100000,25.01292133,121.54096340,269.02400000,2.00000000,1.00000000,135.00000000
-0.72332000,-0.06597000,25.01292123,121.54096350,269.55500000,2.00000000,1.00000000,135.00000000
-0.72332000,-0.06597000,25.01292123,121.54096350,269.42600000,2.00000000,1.00000000,135.00000000
-0.72298000,-0.05100000,25.01292133,121.54096340,269.13600000,2.00000000,1.00000000,135.00000000
-0.73063000,-0.05912000,25.01292123,121.54096340,269.01900000,2.00000000,1.00000000,135.00000000
-0.73063000,-0.05912000,25.01292123,121.54096340,269.78400000,2.00000000,1.00000000,135.00000000
-0.73063000,-0.05912000,25.01292123,121.54096340,269.66900000,2.00000000,1.00000000,135.00000000
-0.72298000,-0.05100000,25.01292133,121.54096340,269.75800000,2.00000000,1.00000000,135.00000000
-0.73063000,-0.05912000,25.01292123,121.54096340,269.69200000,2.00000000,1.00000000,135.00000000
-0.72298000,-0.05100000,25.01292133,121.54096340,270.19600000,2.00000000,1.00000000,135.00000000
-0.72298000,-0.05100000,25.01292133,121.54096340,270.03600000,2.00000000,1.00000000,135.00000000
-0.72298000,-0.05100000,25.01292133,121.54096340,269.11600000,2.00000000,1.00000000,135.00000000
-0.72298000,-0.05100000,25.01292133,121.54096340,269.46400000,2.00000000,1.00000000,135.00000000
-0.72298000,-0.05100000,25.01292133,121.54096340,269.75200000,2.00000000,1.00000000,135.00000000
-0.73063000,-0.05912000,25.01292123,121.54096340,269.55700000,2.00000000,1.00000000,135.00000000
-0.73063000,-0.05912000,25.01292123,121.54096340,269.19300000,2.00000000,1.00000000,135.00000000
-0.73030000,-0.04415000,25.01292133,121.54096330,269.08300000,2.00000000,1.00000000,135.00000000
-0.73030000,-0.04415000,25.01292133,121.54096330,269.62000000,2.00000000,1.00000000,135.00000000
-0.73030000,-0.04415000,25.01292133,121.54096330,269.35700000,2.00000000,1.00000000,135.00000000
-0.72298000,-0.05100000,25.01292133,121.54096340,269.43800000,2.00000000,1.00000000,135.00000000
-0.72265000,-0.03603000,25.01292143,121.54096330,269.18100000,2.00000000,1.00000000,135.00000000
